"game_id","play_id","play_out","reached_base_on_error","error","fielding_chance","launch_angle","exit_velocity","fielder_angle","fielder_distance","fielder_burst_distance","fielder_reaction_distance","fielder_routing_distance","fielder_jump_distance","start_player_angle","end_player_angle","start_player_position","end_player_position","fielding_zone"
717402,"28fde9f7-1820-42f1-be0d-e15008196c44",1,0,0,1,-22.486639,70.153012,53.063,38.27,19.454,5.013,1.61,22.566,-36.464,-36.454,125.269,125.269,Standard Back
717402,f0f626e9-9995-46bf-b3b7-ae4a85bf8496,1,0,0,1,15.616570,48.018048,106.29,53.545,22.953,5.64,0.914,27.273,-26.746,-22.867,131.213,129.566,Back
717403,"067b3de1-9568-43b0-8e62-a899f596c99a",1,0,0,1,-8.008551,100.075988,50.027,26.307,12.457,2.064,1.863,12.589,-37.198,-37.191,125.219,125.181,Standard Back
717403,"5eb5d54f-d71b-4057-bb7d-8f7dee80152e",2,0,0,1,24.101508,92.814535,,10.551,,,,,-36.732,-40.363,115.719,101.466,Standard Back
717403,"6cf4d2c7-0209-43a1-929d-150f17180344",1,0,0,1,-19.794156,95.116045,,7.678,10.258,3.405,3.306,10.257,-37.159,-37.155,125.974,125.964,Standard Back
717403,d40a46c9-8e39-4f2c-a546-ee152444219c,1,0,0,1,-74.612631,72.578602,71.064,96.579,27.443,7.933,1.206,37.832,-34.456,-34.456,119.369,119.369,Standard Back
717403,e44778f9-eb1f-44a1-9802-581a301d2c71,1,0,1,2,-11.932451,97.141365,-28.81,40.371,24.391,9.1,5.463,27.576,-34.73,-34.718,106.494,106.485,Standard Back
717404,"2e70351f-16bc-4cfb-a1f0-a99644be2180",1,0,0,1,-49.663171,69.684775,66.443,93.451,30.965,7.303,1.101,36.722,-37.933,-37.938,131.582,131.545,Back
717404,"38781974-0cd6-4f8b-9ab7-7f214bad9b38",1,0,0,1,1.741314,100.833306,101.865,23.581,15.309,9.636,1.599,22.834,-37.695,-37.512,132.319,131.743,Back
717404,"6c42611f-fdb3-4dcc-8de3-f779ced2dabd",1,0,0,1,-57.590074,42.004014,76.508,113.298,33.498,10.134,1.405,41.678,-38.054,-38.058,132.48,132.437,Back
717404,"77fe9ac5-3445-41a7-98e7-b245e708c367",1,0,0,1,-9.522161,92.345919,,9.982,9.981,3.832,5.608,7.987,-37.661,-37.664,132.57,132.496,Back
717404,ca132f64-bec0-49d7-ab18-9004d3d56563,1,0,0,1,68.988985,74.417819,-58.047,34.807,15.586,4.282,2.22,17.418,-30.652,-46.717,118.782,132.764,Standard Back
717405,"0b424d70-2b20-44c7-bd9f-fe3b1bc3e21f",0,1,1,1,-36.974093,95.954907,144.208,130.963,26.469,10.859,3.429,33.39,-38.25,-38.248,111.472,111.41,Standard Back
717405,"3a22e1b1-0edc-412d-8214-6d2fbd038286",1,0,0,1,-20.433105,82.506723,35.742,17.809,12.726,4.771,1.835,15.42,-34.412,-34.42,104.079,104.032,Standard Back
717405,"6dd653d7-2ddd-44ce-af35-447e087e1533",1,0,0,1,-9.129919,61.364349,121.985,58.808,26.34,9.625,2.027,33.42,-36.673,-36.683,90.928,90.817,Standard In
717405,"9bf53bb8-7d6e-4fa3-bba0-c42aaf0abb75",1,0,0,1,-15.307154,79.459390,-21.663,23.415,10.702,7.752,4.536,13.541,-38.672,-38.677,115.081,115.084,Standard Back
717405,ad11cb72-8984-4bce-b435-a9ed8643f992,1,0,0,1,77.829428,92.150939,60.071,75.455,21.895,4.027,3.074,22.651,-36.766,-21.202,109.553,39.103,Standard Back
717405,d96c35f6-19e3-4e08-b934-c32873313445,1,0,0,1,5.130215,60.098263,-18.696,50.945,20.066,5.977,7.572,18.152,-36.976,-37.75,116.424,115.716,Standard Back
717405,eb78a51b-5e43-427b-995c-cdaf8b5a7b8c,1,0,0,1,-8.516059,85.908327,,9.478,6.892,4.667,0.776,10.6,-29.617,-29.715,98.201,97.975,Standard In
717405,eeeeb99e-8847-4cfc-b1a5-4d71519093e1,1,0,0,1,-7.306716,90.836029,38.669,51.629,11.227,4.262,2.423,12.995,-38.323,-38.349,115.813,115.502,Standard Back
717406,"194d51f6-450b-4119-9070-43f6398e79ed",1,0,0,1,-15.261259,84.709834,56.799,51.963,11.214,5.939,6.774,10.131,-35.083,-35.081,125.906,125.888,Standard Back
717406,"26ca98cf-a4ae-4900-a06e-cb7919d88234",1,0,0,1,68.347518,89.281562,-87.793,70.623,29.543,5.343,1.08,33.393,-25.084,-51.077,95.778,142.34,Standard In
717406,"8f494bf9-fc35-435c-b226-2052777e3b72",1,0,0,1,1.484615,103.347532,44.853,16.589,,,,,-38.035,-38.122,118.702,118.313,Standard Back
717407,"041f4ff8-c886-4a80-a931-5330f3a33bca",1,0,0,1,58.998337,79.829503,-101.088,108.658,24.85,5.263,2.538,27.24,-30.887,-45.895,125.673,198.361,Standard Back
717407,"8d03c2c6-a95b-46f1-b661-6146db040da6",1,0,0,1,-31.807639,73.518833,92.757,30.864,18.499,7.785,1.916,23.919,-33.949,-33.956,105.131,105.066,Standard Back
717407,c0313b80-c3a4-4a43-a31c-493e46bc99fa,1,0,0,1,-12.207960,78.004376,2.341,22.692,7.156,7.888,4.238,10.497,-34.522,-34.547,125.14,125.11,Standard Back
717407,e132a7fa-2808-4f5b-8101-95da92e5ba0a,1,0,0,1,-32.383413,74.897597,102.568,36.096,19.062,8.69,1.096,26.214,-34.482,-34.482,122.313,122.282,Standard Back
717407,edbbaeb5-d39a-48db-bd8e-6b53b1957e1b,1,0,0,1,2.102068,85.956110,,10.628,7.196,7.109,5.857,8.172,-36.588,-36.918,126.178,125.552,Standard Back
717407,f396d639-9783-4ce0-8a87-b0d95a8d081f,0,1,1,1,5.426015,88.753326,,7.777,7.8,3.061,6.175,4.646,-35.66,-36.28,126.411,125.707,Standard Back
717408,"1dd3111c-1f43-482d-9baa-45f62ddd4aea",0,1,1,1,-13.573883,80.006050,110.728,34.981,11.849,3.412,2.346,12.795,-31.446,-31.444,118.983,118.967,Standard Back
717408,"2444cd6e-75e6-4989-a3d1-6b612f81608a",1,0,0,1,77.677766,84.483947,23.455,70.077,24.035,2.451,1.643,24.584,-36.28,-49.395,117.425,47.305,Standard Back
717408,"4b771a55-f8a7-45a2-acf7-9310d89922c4",1,0,0,1,5.232495,83.027779,129.036,82.449,20.583,5.915,2.532,23.605,-38.591,-38.109,124.884,124.78,Standard Back
717408,"94033107-c5f3-4510-9786-cdbcc4e1c745",1,0,0,1,46.505620,59.563606,-119.583,57.601,27.934,5.62,3.349,29.83,-23.826,-33.164,120.671,167.885,Standard Back
717408,df036d14-787b-4d72-b7d3-5fa7d9506626,1,0,0,1,-21.611113,79.016403,-14.736,24.864,12.134,5.468,6.628,10.634,-37.364,-37.387,118.573,118.561,Standard Back
717409,"02adfe1e-f006-4572-a6e4-65ebe42d66aa",1,0,0,1,-30.361271,71.770150,96.232,73.396,28.514,8.318,1.13,35.245,-35.67,-35.662,116.415,116.374,Standard Back
717409,"163d81f3-d2f9-4a3d-9436-18f5ce8412c3",1,0,0,1,-41.981209,82.037955,53.635,69.357,26.954,7.093,1.467,32.152,-40.268,-40.269,125.502,125.477,Standard Back
717409,"4cc5d617-747f-419f-b2a8-506ccbbb77b5",1,0,0,1,-25.580531,100.233407,-5.815,70.443,25.867,9.412,6.536,28.266,-36.053,-36.05,116.639,116.592,Standard Back
717410,"5f5c87bc-5c18-4262-a083-bf78d023ae93",1,0,0,1,-1.249631,75.934328,82.548,32.244,11.622,3.43,1.945,13.024,-35.288,-35.199,122.871,122.862,Standard Back
717410,d389baae-848e-442e-8bce-9fe5dd61bbc6,2,0,0,1,-21.076909,84.918654,120.2,45.282,17.718,6.545,0.818,23.031,-35.422,-35.418,121.495,121.497,Standard Back
717410,e25216be-66c4-45e3-aff8-67ea932b5d13,1,0,0,1,-18.650609,64.126475,107.664,45.175,17.655,7.867,1,24.119,-34.845,-34.834,123.607,123.597,Standard Back
717411,"7134e6b6-7333-46dc-8d6c-e6d870954475",1,0,0,1,-21.886689,101.759550,31.981,54.864,14.1,6.291,5.557,14.414,-38.036,-38.037,121.81,121.793,Standard Back
717412,"09fb31a3-c313-4506-95f7-0b618b4b04c7",1,0,0,1,1.788476,74.748357,86.219,36.782,12.638,1.696,1.755,12.507,-35.106,-35.101,127.747,127.673,Standard Back
717412,"3dfd96f0-3ef3-4a95-92c4-3c22d2ce5245",1,0,0,1,70.835667,81.772270,81.748,24.909,8.907,1.89,3.668,7.034,-28.791,-20.023,126.448,105.314,Standard Back
717412,d966e1b9-b242-45f3-9622-642ddaf4879c,1,0,0,1,-19.558529,103.264744,115.921,31.449,20.259,8.91,1.471,27.204,-32.049,-32.054,128.478,128.474,Standard Back
717413,"39406ea1-bff1-426f-bc38-2178ecaf961b",1,0,0,1,-24.341178,70.569276,13.258,83.965,27.24,8.088,2.865,31.948,-36.359,-36.361,106.268,106.206,Standard Back
717414,"6a5a3d94-adf3-4818-beec-a081e45da2a5",1,0,0,1,-32.072955,92.997182,61.493,48.707,9.85,6.07,6.616,9.075,-39.389,-39.389,127.465,127.465,Standard Back
717414,"81026b41-afee-423f-92f6-001ca2b81e63",1,0,0,1,-57.903736,76.161726,36.417,81.939,29.866,7.247,1.031,35.637,-36.755,-36.748,93.119,93.102,Standard In
717414,"996ef998-8e46-4826-98ae-77d217fd200c",2,0,0,1,-15.515111,65.186808,111.969,70.125,27.913,8.073,3.2,32.344,-38.271,-38.251,110.728,110.659,Standard Back
717414,"9cf8a212-96cf-44a5-a769-4616fbb1cc08",2,0,0,1,3.643210,79.123818,115.184,67.181,23.579,7.83,1.905,29.05,-38.432,-37.99,112.348,111.511,Standard Back
717414,a65230df-bb02-46d0-8b64-354c69491c06,1,0,0,1,-6.935780,70.434519,84.504,22.247,12.532,5.548,3.179,14.646,-36.318,-36.408,122.005,121.893,Standard Back
717414,f638c882-3fa2-4509-9f6f-b6c30a08633c,1,0,0,1,7.470614,93.972329,,5.854,5.993,6.204,2.021,9.806,-34.907,-36.868,120.717,119.131,Standard Back
717415,"0ac82378-7e2a-431c-8d05-5de48b67dd14",1,0,0,1,69.538569,86.769238,,12.653,9.237,5.456,0.403,14,-18.932,-19.603,136.236,120.138,Back
717415,"2bdccd27-d870-4fc1-b86f-fb4a564cf3b4",1,0,0,1,-32.168325,98.833901,103.638,17.555,14.694,5.087,5.026,14.443,-35.311,-35.311,103.396,103.396,Standard Back
717415,"2cb73ae8-55dd-43dc-89ba-55475c171991",1,0,0,1,-44.635896,81.048486,,14.665,8.053,4.882,7.692,5.209,-28.454,-28.474,90.097,90.021,Standard In
717415,"4a0da18e-2a74-4aaa-b5dd-26057398905e",1,0,0,1,1.032349,100.197420,95.354,51.619,18.099,7.103,3.669,21.196,-19.665,-19.919,137.519,136.827,Back
717415,a9b26e28-46eb-4b3a-b2d8-00f812b87bc1,2,0,0,1,28.849037,84.591240,22.61,30.324,,,,,-37.217,-41.158,123.616,93.218,Standard Back
